label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00202	-0.2477707378210246	-0.05464144910450814	species	NA	NA	NA	NA	NA	NA	NA
ASV_00203	0.3123363734798554	-0.6389300389885947	species	NA	NA	NA	NA	NA	NA	NA
ASV_00205	0.3473432042243529	0.05130074565559199	species	NA	NA	NA	NA	NA	NA	NA
ASV_00206	0.3917711803711235	0.06313347459093792	species	NA	NA	NA	NA	NA	NA	NA
ASV_00207	0.16340421182932924	-0.016689985346265854	species	NA	NA	NA	NA	NA	NA	NA
ASV_00208	0.2739714889809794	0.18316935400414489	species	NA	NA	NA	NA	NA	NA	NA
ASV_00209	0.19684403907295928	0.05290903362226133	species	NA	NA	NA	NA	NA	NA	NA
ASV_00210	0.3573139479655806	0.03927942484000547	species	NA	NA	NA	NA	NA	NA	NA
ASV_00211	0.18956782954293191	0.019077745248025375	species	NA	NA	NA	NA	NA	NA	NA
ASV_00215	-0.5815969595862982	-0.009979437978765944	species	NA	NA	NA	NA	NA	NA	NA
ASV_00216	0.35462618616822916	0.04295380745542506	species	NA	NA	NA	NA	NA	NA	NA
ASV_00217	0.2516832668897769	-0.016332004635967828	species	NA	NA	NA	NA	NA	NA	NA
ASV_00218	0.2547212606170402	5.223249853264247e-4	species	NA	NA	NA	NA	NA	NA	NA
ASV_00221	-0.9098341062154847	0.13472359086998054	species	NA	NA	NA	NA	NA	NA	NA
ASV_00222	-0.42288996948270346	-0.014069928204863422	species	NA	NA	NA	NA	NA	NA	NA
ASV_00223	0.382857934812902	0.013276371110038767	species	NA	NA	NA	NA	NA	NA	NA
ASV_00224	-0.8071371563254589	0.2092737364203613	species	NA	NA	NA	NA	NA	NA	NA
ASV_00225	0.24745851544186628	-0.0482059939808484	species	NA	NA	NA	NA	NA	NA	NA
ASV_00226	0.3809821165869073	0.03656367933162575	species	NA	NA	NA	NA	NA	NA	NA
ASV_00227	-0.4309939811075333	-0.018163488163315582	species	NA	NA	NA	NA	NA	NA	NA
ASV_00228	0.24289608724321937	-0.03108115937474404	species	NA	NA	NA	NA	NA	NA	NA
ASV_00229	-0.11998961627452895	0.004180246335493426	species	NA	NA	NA	NA	NA	NA	NA
ASV_00231	-0.26542037253376255	-0.6433848957203712	species	NA	NA	NA	NA	NA	NA	NA
ASV_00232	-0.16020268317499337	0.1511100249531187	species	NA	NA	NA	NA	NA	NA	NA
ASV_00233	0.3417805100236159	0.03156978785669282	species	NA	NA	NA	NA	NA	NA	NA
